iter	Passed	Remaining
658	4047	2094
659	4052	2087
660	4058	2081
661	4064	2075
662	4069	2068
663	4074	2062
664	4080	2055
665	4085	2048
666	4090	2042
667	4097	2036
668	4103	2030
669	4110	2024
670	4118	2019
671	4127	2014
672	4135	2009
673	4141	2002
674	4149	1998
675	4156	1992
676	4164	1986
677	4169	1980
678	4176	1974
679	4182	1968
680	4187	1961
681	4193	1955
682	4199	1949
683	4204	1942
684	4211	1936
685	4217	1930
686	4223	1924
687	4232	1919
688	4248	1917
689	4255	1911
690	4262	1906
691	4268	1900
692	4275	1894
693	4281	1887
694	4288	1882
695	4294	1875
696	4300	1869
697	4308	1863
698	4314	1857
699	4322	1852
700	4328	1846
701	4334	1840
702	4340	1833
703	4345	1827
704	4352	1821
705	4359	1815
706	4364	1808
707	4371	1803
708	4378	1796
709	4384	1790
710	4389	1784
711	4394	1777
712	4402	1771
713	4409	1766
714	4416	1760
715	4421	1753
716	4429	1748
717	4437	1742
718	4444	1736
719	4450	1730
720	4456	1724
721	4461	1717
722	4468	1712
723	4473	1705
724	4479	1699
725	4485	1692
726	4491	1686
727	4497	1680
728	4503	1674
729	4508	1667
730	4516	1661
731	4521	1655
732	4526	1648
733	4533	1642
734	4538	1636
735	4543	1629
736	4549	1623
737	4554	1616
738	4559	1610
739	4566	1604
740	4571	1597
741	4578	1592
742	4584	1585
743	4592	1580
744	4600	1574
745	4608	1569
746	4615	1563
747	4630	1560
748	4636	1553
749	4648	1549
750	4654	1543
751	4662	1537
752	4667	1531
753	4674	1525
754	4681	1519
755	4691	1514
756	4698	1508
757	4705	1502
758	4712	1496
759	4720	1490
760	4728	1484
761	4734	1478
762	4742	1473
763	4750	1467
764	4756	1461
765	4762	1454
766	4767	1448
767	4774	1442
768	4781	1436
769	4788	1430
770	4795	1424
771	4801	1417
772	4807	1411
773	4813	1405
774	4819	1399
775	4825	1392
776	4830	1386
777	4836	1379
778	4841	1373
779	4847	1367
780	4854	1361
781	4860	1355
782	4867	1348
783	4873	1342
784	4878	1336
785	4884	1329
786	4891	1323
787	4898	1317
788	4906	1312
789	4913	1306
790	4919	1299
791	4924	1293
792	4930	1287
793	4936	1280
794	4942	1274
795	4948	1268
796	4954	1261
797	4960	1255
798	4966	1249
799	4972	1243
800	4977	1236
801	4984	1230
802	4989	1224
803	4995	1217
804	5001	1211
805	5006	1205
806	5011	1198
807	5016	1192
808	5022	1185
809	5028	1179
810	5034	1173
811	5040	1166
812	5046	1160
813	5051	1154
814	5057	1147
815	5064	1141
816	5070	1135
817	5076	1129
818	5082	1123
819	5088	1117
820	5094	1110
821	5101	1104
822	5105	1098
823	5112	1091
824	5117	1085
825	5122	1079
826	5128	1072
827	5134	1066
828	5139	1060
829	5145	1053
830	5150	1047
831	5155	1041
832	5161	1034
833	5166	1028
834	5173	1022
835	5177	1015
836	5182	1009
837	5187	1002
838	5193	996
839	5198	990
840	5203	983
841	5209	977
842	5215	971
843	5223	965
844	5230	959
845	5236	953
846	5243	947
847	5248	940
848	5255	934
849	5260	928
850	5264	921
851	5270	915
852	5277	909
853	5286	903
854	5291	897
855	5296	890
856	5301	884
857	5306	878
858	5312	872
859	5317	865
860	5323	859
861	5328	852
862	5332	846
